Candidates,Voters,Dispersion,Voting Method,L=1,L=2,L=3,L=4,L=5,L=6,L=7
5,2000,0.9,Plurality With Runoff,0.942,0.981,0.991,1.0,1.0,0,0
5,2000,0.9,Coombs,0.942,0.981,0.99,1.0,1.0,0,0
5,2000,1,Schulze,0.486,0.642,0.771,1.0,1.0,0,0
5,2000,1,Bucklin,0.374,0.498,1.0,1.0,1.0,0,0
5,2000,1,Plurality With Runoff,0.607,0.76,0.862,1.0,1.0,0,0
5,2000,1,Coombs,0.422,0.558,0.667,1.0,1.0,0,0
6,100,0.7,Schulze,0.905,0.956,0.973,0.983,1.0,1.0,0
6,100,0.7,Bucklin,0.871,0.979,1.0,1.0,1.0,1.0,0
6,100,0.7,Plurality With Runoff,0.907,0.957,0.975,0.985,1.0,1.0,0
6,100,0.7,Coombs,0.904,0.955,0.973,0.982,1.0,1.0,0
6,100,0.8,Schulze,0.762,0.859,0.92,0.965,1.0,1.0,0
6,100,0.8,Bucklin,0.71,0.824,1.0,1.0,1.0,1.0,0
6,100,0.8,Plurality With Runoff,0.778,0.871,0.93,0.971,1.0,1.0,0
6,100,0.8,Coombs,0.756,0.855,0.909,0.959,1.0,1.0,0
6,100,0.9,Schulze,0.525,0.687,0.774,0.869,1.0,1.0,0
6,100,0.9,Bucklin,0.464,0.62,1.0,1.0,1.0,1.0,0
6,100,0.9,Plurality With Runoff,0.613,0.759,0.835,0.91,1.0,1.0,0
6,100,0.9,Coombs,0.498,0.625,0.711,0.818,1.0,1.0,0
6,100,1,Schulze,0.375,0.512,0.652,0.758,1.0,1.0,0
6,100,1,Bucklin,0.297,0.449,1.0,1.0,1.0,1.0,0
6,100,1,Plurality With Runoff,0.472,0.641,0.733,0.829,1.0,1.0,0
6,100,1,Coombs,0.319,0.43,0.533,0.634,1.0,1.0,0
6,200,0.7,Schulze,0.964,0.988,0.995,0.998,1.0,1.0,0
6,200,0.7,Bucklin,0.953,1.0,1.0,1.0,1.0,1.0,0
6,200,0.7,Plurality With Runoff,0.964,0.988,0.995,0.998,1.0,1.0,0
6,200,0.7,Coombs,0.964,0.988,0.995,0.998,1.0,1.0,0
6,200,0.8,Schulze,0.858,0.938,0.947,0.984,1.0,1.0,0
6,200,0.8,Bucklin,0.812,0.885,1.0,1.0,1.0,1.0,0
6,200,0.8,Plurality With Runoff,0.861,0.941,0.95,0.985,1.0,1.0,0
6,200,0.8,Coombs,0.856,0.937,0.946,0.982,1.0,1.0,0
6,200,0.9,Schulze,0.631,0.758,0.844,0.904,1.0,1.0,0
6,200,0.9,Bucklin,0.571,0.686,1.0,1.0,1.0,1.0,0
6,200,0.9,Plurality With Runoff,0.683,0.787,0.874,0.922,1.0,1.0,0
6,200,0.9,Coombs,0.601,0.714,0.8,0.859,1.0,1.0,0
6,200,1,Schulze,0.411,0.55,0.65,0.786,1.0,1.0,0
6,200,1,Bucklin,0.32,0.448,1.0,1.0,1.0,1.0,0
6,200,1,Plurality With Runoff,0.529,0.661,0.754,0.853,1.0,1.0,0
6,200,1,Coombs,0.368,0.463,0.545,0.653,1.0,1.0,0
6,300,0.7,Schulze,0.987,0.998,1.0,0.999,1.0,1.0,0
6,300,0.7,Bucklin,0.983,1.0,1.0,1.0,1.0,1.0,0
6,300,0.7,Plurality With Runoff,0.987,0.998,1.0,0.999,1.0,1.0,0
6,300,0.7,Coombs,0.987,0.998,1.0,0.999,1.0,1.0,0
6,300,0.8,Schulze,0.909,0.972,0.981,0.99,1.0,1.0,0
6,300,0.8,Bucklin,0.877,0.921,1.0,1.0,1.0,1.0,0
6,300,0.8,Plurality With Runoff,0.91,0.972,0.98,0.989,1.0,1.0,0
6,300,0.8,Coombs,0.908,0.971,0.98,0.989,1.0,1.0,0
